id;UniversidadCompleto;Universidad;Universidad_Siglas;Facultad;Carrera;Country;Type;Genero;Edad;Q11;Q12;Q13;Q21;Q22;Q23;Q31;Q32;Q33;Q41;Q42;Q43;Q51;Q52;Q53;Q61;Q62;Q63;Q71;Q72;Q73;Q81;Q82;Q83
119;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;3;3;4;4;3;4;4;2;2;2;2;2;2;1;2;2;3;3;3;2;3;3
120;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;4;4;3;2;2;2;2;2;2;3;2;2;3;3;3;3;3;2;3;3;3
121;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;3;2;3;2;2;2;1;3;3;2;2;3;1;1;1;2;1;1;1;3;2
122;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;2;2;3;3;2;3;3;3;4;1;3;3;3;2;2;2;2;2;3;3;3;3;2;3
123;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;21;3;1;3;2;4;3;2;3;2;2;2;2;3;2;2;3;2;2;3;2;2;2;3;3
124;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;26;3;2;4;4;4;2;1;1;1;1;4;2;3;4;3;3;2;1;1;4;2;4;4;3
125;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;4;2;2;4;3;4;4;4;3;1;4;3;4;2;2;3;2;3;4;4;4;3;1;2
126;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;3;3;2;3;2;2;3;4;1;3;3;4;4;2;4;1;3;4;1;3;2;3;4
127;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;2;3;4;4;4;2;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;4;4
128;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;2;1;3;3;4;4;2;2;2;2;4;2;3;2;3;1;1;2;3;4;4;3;3;3
129;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;3;4;3;4;2;4;4;2;3;4;3;2;2;2;1;2;4;4;4;2;2;3
130;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;3;3;3;3;2;2;2;3;3;3;3;3;3;2;3;3;2;2;3;3;3
131;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;25;2;2;3;4;4;3;2;2;2;3;4;3;3;3;3;2;2;3;3;3;3;4;3;3
132;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;4;4;4;2;3;2;3;2;3;2;4;4;2;2;3;1;1;1;2;3;3;2;2;2
133;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;4;1;3;4;4;3;4;2;3;3;3;3;3;3;2;3;3;3;4;2;4;3;2;3
134;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;4;3;3;4;2;2;2;2;2;3;3;3;2;3;3;2;2;2;2;2;2;2
135;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;1;3;3;3;2;3;1;1;1;2;2;3;3;3;3;2;2;1;2;3;3;3;3
136;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;4;4;4;4;4;4;3;3;3;4;4;4;3;2;3;4;4;4;4;4;4
137;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;3;3;4;4;4;3;4;4;2;2;2;4;4;4;2;2;1;3;4;3;2;2;3
138;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;21;3;2;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
139;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;2;2;2;4;4;4;3;1;2;1;3;3;3;3;3;4;3;4;4;3;2;2;4;2
140;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;3;4;4;3;3;2;1;1;2;2;3;2;3;3;2;2;2;3;3;3;3;4
141;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;4;2;3;3;4;3;3;2;1;2;3;4;4;3;2;2;2;2;4;3;4;3;1;3
142;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;2;3;4;4;2;1;1;1;4;4;3;4;4;4;4;4;4;4;4;3;3;3
143;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;3;3;3;3;2;2;2;3;3;3;3;3;3;2;2;3;3;3;3;2;3
144;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;25;3;3;3;4;3;4;4;3;4;2;4;3;4;3;3;3;2;3;3;3;3;4;4;4
145;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;3;1;2;4;4;3;3;2;3;1;4;4;4;4;2;2;2;2;3;3;4;1;3;2
146;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;29;3;2;1;3;3;3;3;1;1;2;3;2;3;3;3;3;2;2;2;4;4;2;2;2
147;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;3;4;3;2;4;2;3;4;4;3;3;4;4;4;4;4;4;2;3;2;4;4;4
148;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;3;2;2;2;3;1;2;2;4;2;3;1;2;1;1;1;1;3;2;2;2;2
149;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;3;4;4;4;4;4;4;4;4;3;4;4;3;3;4;4;4;4;4;4;3;3
150;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;1;2;2;1;2;3;1;4;1;2;2;3;1;1;2;3;2;3;3;3;4;4;1
151;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;4;4;2;1;2;2;3;1;1;3;4;1;4;1;1;3;2;2;3;3;4;3;4
152;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;4;1;3;4;4;3;2;2;3;1;2;1;3;2;3;3;3;4;4;3;3;2;2;2
153;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;2;4;3;4;3;1;2;2;3;2;4;3;4;3;2;2;3;3;3;4;4;3
154;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;4;4;2;2;1;1;2;2;2;3;3;3;3;2;2;3;2;2;2;3;3
155;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;24;4;3;4;3;2;2;2;3;1;2;3;2;1;2;3;1;2;2;2;3;3;2;3;3
156;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;4;2;4;2;3;4;3;2;1;4;3;2;3;2;1;3;3;3;2;2;2;3
157;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;2;2;4;4;3;3;2;3;2;2;3;2;3;2;3;3;2;3;2;2;1;2;2
158;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;24;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2;3;2;2;2;3;3;3
159;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;3;2;4;4;4;2;2;2;1;1;3;4;4;4;4;2;2;1;4;3;4;4;4
160;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;24;3;3;4;3;3;1;2;2;2;1;2;1;3;3;2;4;4;4;3;2;3;2;2;3
161;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;34;4;4;2;3;3;1;2;1;2;1;1;1;3;3;3;1;1;1;1;1;1;3;3;3
162;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;1;1;4;4;4;4;1;2;1;3;2;4;4;4;3;3;3;4;4;1;4;4;4
163;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;41;4;2;2;4;4;4;2;1;1;3;4;4;3;3;3;1;1;1;1;4;4;1;4;3
164;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;1;2;2;3;4;1;2;3;1;1;1;2;2;2;4;4;3;4;2;3;1;2;2;1
165;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;3;4;1;3;3;2;2;2;3;3;4;2;3;3;4;4;2;3;3;3;3
166;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;1;4;4;4;4;2;1;1;3;4;3;3;2;2;2;3;3;2;3;3;2;4;1
167;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;2;1;4;3;3;2;3;4;1;3;2;4;3;1;3;3;4;4;3;3;1;3;3
168;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;2;4;2;2;4;2;2;3;3;3;2;2;2;3;3;3;1;2;2;1;1;1
169;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;1;4;3;4;4;2;2;2;1;2;2;3;3;2;2;2;2;3;3;3;2;2;2
170;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;25;4;1;4;2;4;1;2;2;2;1;3;1;4;2;4;1;1;1;1;1;1;3;1;1
171;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;2;4;4;4;3;2;2;1;1;2;2;4;4;4;3;3;4;3;3;4;3;4;3
172;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;4;2;3;3;4;3;3;4;4;3;3;3;3;4;3;3;3;3;2;3;3;4;4;3
173;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;3;4;4;3;4;4;4;3;4;3;3;4;3;3;4;3;4;3;4;3;4;3
174;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;2;4;4;4;4;1;1;1;1;1;4;4;4;3;3;4;3;3;3;4;4;4
175;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;3;3;3;3;3;2;2;1;3;2;3;3;3;2;3;2;2;2;2;3;3;3
176;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;1;3;3;3;3;3;1;2;1;3;3;3;2;2;2;2;2;2;2;3;2;2;3
177;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;4;1;3;4;4;4;4;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4
178;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;25;3;1;4;3;3;3;4;3;2;2;3;2;3;3;3;3;1;2;1;1;1;1;1;2
179;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;4;1;1;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;3;1;4;3;2
180;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;4;4;3;3;3;2;2;2;2;3;2;3;3;4;2;2;2;2;2;2;3;3;3
181;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;2;3;4;3;3;2;3;1;3;2;4;4;3;2;2;2;3;4;4;4;2;3
182;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;3;2;3;3;2;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2
183;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;2;2;3;3;2;3;3;2;2;2;3;2;2;2;2;3;2;2;3;3;3;3
184;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;2;3;2;4;2;4;2;4;2;4;1;4;2;2;3;3;2;3;4;4;3;3
185;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;3;3;2;4;1;3;3;3;3;4;4;3;4;3;3;3;3;4;4;4;4;4
186;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;2;3;3;4;3;2;4;3;4;3;2;3;3;3;4;3;4;3;3;3;4;3
187;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;2;4;1;4;3;2;4;1;3;2;1;4;2;3;4;4;3;2;1;4;4
188;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;4;3;3;4;3;4;4;4;4;4;3;3;3;3;4;4;3;3;3;3;3;3
189;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;1;2;3;3;3;3;3;2;1;3;3;4;3;3;2;4;2;4;4;2;3;2;4
190;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Non binary;23;4;2;4;4;3;2;2;3;3;3;2;2;3;4;2;1;4;4;4;4;4;3;2;2
191;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;1;4;4;3;3;2;3;3;2;3;4;4;2;2;2;2;3;3;3;3;2;3
192;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;2;4;4;4;2;1;1;2;4;4;3;2;3;4;4;4;1;3;2;3;4;3
193;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;2;2;4;4;3;2;1;2;1;3;3;4;3;3;3;3;3;2;4;2;3;2;3
194;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;Campus Toluca;universidad IIS;Mexico;Private;Mujer;19;2;3;2;3;3;2;3;2;3;2;3;2;3;2;3;2;2;2;3;2;2;2;3;3
195;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería Mecánica;Mexico;Private;Mujer;23;3;4;4;3;2;2;4;4;3;2;3;4;3;3;4;3;2;2;3;2;3;2;3;3
196;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Arquitectura;Mexico;Private;Hombre;20;3;3;3;4;4;4;4;4;4;1;4;2;4;3;4;3;2;3;3;3;2;4;2;3
197;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Escuela de Ciencias Sociales y Gobierno;Mexico;Private;Hombre;19;2;1;3;2;3;2;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4
198;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM; México.;Escuela de Ciencias Sociales y Gobierno ;Mexico;Private;Hombre;19;2;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4
199;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;IMT;Mexico;Private;Hombre;19;3;1;2;3;4;3;4;4;3;3;2;3;2;3;3;3;2;2;2;4;1;1;2;3
200;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería ;Mexico;Private;Hombre;21;2;3;3;2;4;3;1;3;3;2;3;3;4;3;2;3;2;3;2;2;3;3;2;3
201;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;IBT, Bioingeniería ;Mexico;Private;No binario;20;3;2;2;3;3;3;2;2;2;2;3;3;3;3;3;2;3;3;2;3;2;3;3;3
202;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM; México.;Ingenieria Mecanica;Mexico;Private;Hombre;21;3;2;3;3;2;2;3;2;3;3;1;4;4;2;2;3;2;1;3;3;3;2;2;1
203;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería en Biotecnología;Mexico;Private;Mujer;20;4;4;4;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2
204;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Plataformas educativas abiertas e innovadoras ;Mexico;Private;Mujer;19;3;1;2;4;4;4;3;3;3;3;4;4;4;4;4;3;3;3;4;4;4;4;4;4
205;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM; Campus Toluca;LCPF- Licenciatura en Contaduría Publica y Finanzas;Mexico;Private;Mujer;20;3;3;3;2;3;2;3;3;3;1;4;3;4;4;3;1;2;1;2;2;2;2;3;3
206;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;Campus Toluca;Ingeniería en Biotecnología ;Mexico;Private;Mujer;21;3;2;3;2;3;3;2;3;3;2;3;2;4;4;4;3;2;3;2;3;3;3;3;3
207;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM; México.;Plataformas educativas abiertas e innovadoras”. ;Mexico;Private;Mujer;22;3;4;3;4;4;2;1;1;2;1;1;3;3;3;3;2;2;1;2;4;1;3;4;4
208;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Plataformas educativas abiertas e innovadoras;Mexico;Private;Hombre;21;1;3;3;3;3;2;3;2;2;1;3;2;2;3;2;1;1;1;1;3;2;2;3;3
209;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería Mecánica;Mexico;Private;Hombre;20;2;2;2;3;2;1;4;4;3;1;1;2;4;3;2;2;1;1;4;4;4;2;3;3
210;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Arquitectura;Mexico;Private;Hombre;20;3;2;4;1;2;3;4;3;2;2;1;2;3;4;3;2;3;1;2;4;1;1;2;3
211;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingenieria Fisico Industrial;Mexico;Private;Hombre;18;2;1;3;4;3;3;2;3;3;3;3;3;4;4;4;3;3;3;2;2;3;4;3;4
212;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Escuela de Ingeniería y Ciencias;Mexico;Private;Hombre;21;3;1;3;4;4;3;3;3;3;1;4;2;4;4;4;3;3;3;2;3;4;4;4;4
213;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Carrera profesional: Ingeniería en Robótica y Sistemas Digitales;Mexico;Private;Hombre;19;3;1;3;3;4;4;3;4;3;1;3;4;4;2;4;2;1;2;4;4;4;1;2;3
214;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;BGB;Mexico;Private;Hombre;19;3;2;3;4;4;4;4;4;4;3;4;4;4;4;4;3;3;3;3;3;3;3;4;4
215;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;Campus Toluca;IM ;Mexico;Private;Hombre;20;3;2;1;4;4;3;4;1;3;2;4;4;2;4;4;2;3;4;3;3;3;3;3;3
216;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería en Ciencia de Datos y Matemáticas;Mexico;Private;Hombre;21;2;1;2;3;4;3;2;1;1;1;3;3;4;4;4;1;2;3;3;3;3;3;3;4
217;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Tec21;Mexico;Private;Hombre;20;3;3;3;3;3;2;2;4;2;1;3;2;4;4;4;2;3;1;3;4;3;3;4;4
218;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Plan TEC 21;Mexico;Private;Mujer;19;4;3;3;3;4;4;3;3;3;2;2;4;4;4;3;4;4;4;3;3;2;4;2;2
219;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniero Biomédico;Mexico;Private;Hombre;20;3;2;4;4;4;3;3;3;2;3;4;4;3;2;3;3;1;3;3;2;3;2;2;3
220;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Plataformas educativas abiertas e innovadoras;Mexico;Private;Hombre;19;2;2;2;3;3;2;3;2;2;2;2;3;3;3;2;1;1;1;1;2;1;3;3;3
221;Emiliano Diaz Argüelles;Emiliano Diaz Argüelles;;;Ingenieria mecanica;No definido;;Hombre;21;3;2;3;4;2;2;3;1;1;4;3;2;2;1;1;3;3;3;2;2;4;2;1;4
222;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería Mecánica;Mexico;Private;Hombre;20;2;2;1;3;3;1;2;1;1;2;3;2;3;3;2;2;1;1;1;4;4;3;3;3
223;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;R4C-IRG;Mexico;Private;Mujer;21;3;2;2;4;4;3;2;3;4;1;4;3;4;3;3;3;3;1;3;3;2;3;3;3
224;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;Campus Estado de México;ITD;Mexico;Private;Hombre;19;4;3;3;3;4;4;3;2;2;1;2;4;4;4;4;3;2;2;4;3;3;2;2;3
225;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;BGB / negocios;Mexico;Private;Mujer;20;4;2;3;2;2;2;3;3;3;2;2;2;3;3;3;2;2;2;3;3;2;2;3;2
226;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;ITC;Mexico;Private;Hombre;21;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
227;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;ITC;Mexico;Private;Hombre;21;1;2;1;3;2;1;2;1;2;4;2;4;2;1;3;3;2;4;2;3;3;4;3;3
228;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Profesional;Mexico;Private;Mujer;19;1;2;1;4;4;4;4;4;4;3;4;4;3;3;3;4;4;4;4;3;3;4;3;3
229;Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Instituto Tecnológico y de Estudios Superiores de Monterrey;ITESM;;Ingeniería Industrial y de Sistemas;Mexico;Private;Hombre;19;3;2;3;3;3;3;4;3;3;2;4;4;4;4;4;2;2;3;3;4;4;2;3;3
